ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2016,gfHygHelo1,sourmash_db_filter_kmers_100,0,0,55,2037,0,0.0,0.9737093690248566,0,55,2037,1204,55,0
RC-2061,dcPolTetr1,fcs,43,1185,0,311,0.03501628664495114,1.0,0.2300194931773879,0.06766325727773408,43,1519,-,55,43
RC-2061,dcPolTetr1,tiara,43,1160,0,336,0.03574397339983375,1.0,0.24626380766731643,0.06902086677367576,43,1519,-,55,43
RC-2061,dcPolTetr1,fcs+tiara,0,1195,0,324,0.0,0,0.21329822251481237,0,0,1519,-,55,0
RC-2061,dcPolTetr1,sourmash_without_filters,48,1392,0,99,0.03333333333333333,1.0,0.09551656920077972,0.06451612903225806,48,1519,237,55,48
RC-2061,dcPolTetr1,sourmash_db_filter_published_assembly,48,1392,0,99,0.03333333333333333,1.0,0.09551656920077972,0.06451612903225806,48,1519,319,55,48
RC-2061,dcPolTetr1,sourmash_db_filter_topN_3,27,1155,21,341,0.02284263959390863,0.5625,0.23834196891191708,0.04390243902439024,48,1519,319,55,27
RC-2061,dcPolTetr1,sourmash_db_filter_topN_10,27,1156,21,340,0.02282333051563821,0.5625,0.23769430051813473,0.043866774979691305,48,1519,319,55,27
RC-2061,dcPolTetr1,sourmash_db_filter_topN_50,27,1157,21,339,0.022804054054054054,0.5625,0.23704663212435234,0.04383116883116883,48,1519,319,55,27
RC-2061,dcPolTetr1,sourmash_db_filter_topN_100,28,1159,20,337,0.02358887952822241,0.5833333333333334,0.23639896373056996,0.045344129554655874,48,1519,319,55,28
RC-2061,dcPolTetr1,sourmash_db_filter_containment_0%,28,1160,20,336,0.02356902356902357,0.5833333333333334,0.23575129533678757,0.045307443365695796,48,1519,319,55,28
RC-2061,dcPolTetr1,sourmash_db_filter_containment_1%,28,1160,20,336,0.02356902356902357,0.5833333333333334,0.23575129533678757,0.045307443365695796,48,1519,319,55,28
RC-2061,dcPolTetr1,sourmash_db_filter_containment_10%,27,1146,21,350,0.023017902813299233,0.5625,0.24417098445595856,0.04422604422604423,48,1519,319,55,27
