ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2515,xgEntOest1,sourmash_db_filter_published_assembly,1665,985,222,343,0.6283018867924528,0.8823529411764706,0.6245723172628305,0.7339651752259202,1887,1328,2552,309,301
RC-2515,xgEntOest1,sourmash_db_filter_topN_3,17,0,1870,1328,1.0,0.009009009009009009,0.41835147744945567,0.01785714285714286,1887,1328,2552,309,3
RC-2515,xgEntOest1,sourmash_db_filter_topN_10,20,0,1867,1328,1.0,0.010598834128245893,0.4192846034214619,0.02097535395909806,1887,1328,2552,309,3
RC-2515,xgEntOest1,sourmash_db_filter_topN_50,28,4,1859,1324,0.875,0.01483836777954425,0.42052877138413686,0.02918186555497655,1887,1328,2552,309,4
RC-2515,xgEntOest1,sourmash_db_filter_topN_100,34,7,1853,1321,0.8292682926829268,0.018018018018018018,0.4214618973561431,0.035269709543568464,1887,1328,2552,309,6
RC-2515,xgEntOest1,sourmash_db_filter_containment_0%,71,27,1816,1301,0.7244897959183674,0.03762586115527292,0.42674961119751165,0.07153652392947105,1887,1328,2552,309,11
RC-2515,xgEntOest1,sourmash_db_filter_containment_1%,71,27,1816,1301,0.7244897959183674,0.03762586115527292,0.42674961119751165,0.07153652392947105,1887,1328,2552,309,11
RC-2515,xgEntOest1,sourmash_db_filter_containment_10%,11,1,1876,1327,0.9166666666666666,0.005829358770535241,0.4161741835147745,0.01158504476040021,1887,1328,2552,309,2
RC-2515,xgEntOest1,sourmash_db_filter_containment_20%,9,0,1878,1328,1.0,0.0047694753577106515,0.41586314152410575,0.00949367088607595,1887,1328,2552,309,0
RC-2515,xgEntOest1,sourmash_db_filter_kmers_2,29,2,1858,1326,0.9354838709677419,0.015368309485956544,0.4214618973561431,0.030239833159541187,1887,1328,2552,309,10
RC-2515,xgEntOest1,sourmash_db_filter_kmers_10,12,0,1875,1328,1.0,0.006359300476947536,0.416796267496112,0.01263823064770932,1887,1328,2552,309,3
RC-2515,xgEntOest1,sourmash_db_filter_kmers_50,1,0,1886,1328,1.0,0.0005299417064122947,0.41337480559875583,0.0010593220338983053,1887,1328,2552,309,0
RC-2515,xgEntOest1,sourmash_db_filter_kmers_100,1,0,1886,1328,1.0,0.0005299417064122947,0.41337480559875583,0.0010593220338983053,1887,1328,2552,309,0
RC-2649,laPotNata1,fcs,685,1009,0,36,0.40436835891381345,1.0,0.4167630057803468,0.5758722152164776,685,1045,-,31,31
RC-2649,laPotNata1,tiara,685,915,0,130,0.428125,1.0,0.47109826589595377,0.599562363238512,685,1045,-,31,31
RC-2649,laPotNata1,fcs+tiara,685,976,0,69,0.4124021673690548,1.0,0.43583815028901735,0.5839727195225917,685,1045,-,31,31
RC-2649,laPotNata1,sourmash_without_filters,685,1041,0,4,0.39687137891077634,1.0,0.3982658959537572,0.5682289506428868,685,1045,112,31,31
RC-2649,laPotNata1,sourmash_db_filter_published_assembly,680,1039,5,6,0.3955788248981966,0.9927007299270073,0.3965317919075145,0.5657237936772047,685,1045,390,31,31
RC-2649,laPotNata1,sourmash_db_filter_topN_3,1,806,684,239,0.0012391573729863693,0.00145985401459854,0.13872832369942195,0.0013404825737265416,685,1045,390,31,0
RC-2649,laPotNata1,sourmash_db_filter_topN_10,3,850,682,195,0.0035169988276670576,0.004379562043795621,0.11445086705202312,0.003901170351105332,685,1045,390,31,0
RC-2649,laPotNata1,sourmash_db_filter_topN_50,12,862,673,183,0.013729977116704805,0.017518248175182483,0.11271676300578035,0.015394483643361129,685,1045,390,31,0
RC-2649,laPotNata1,sourmash_db_filter_topN_100,14,862,671,183,0.01598173515981735,0.020437956204379562,0.1138728323699422,0.017937219730941704,685,1045,390,31,0
RC-2649,laPotNata1,sourmash_db_filter_containment_0%,421,908,264,137,0.31677953348382243,0.6145985401459854,0.3225433526011561,0.41807348560079444,685,1045,390,31,1
RC-2649,laPotNata1,sourmash_db_filter_containment_1%,421,908,264,137,0.31677953348382243,0.6145985401459854,0.3225433526011561,0.41807348560079444,685,1045,390,31,1
RC-2649,laPotNata1,sourmash_db_filter_containment_10%,399,874,286,171,0.31343283582089554,0.5824817518248175,0.32947976878612717,0.40755873340143006,685,1045,390,31,0
RC-2649,laPotNata1,sourmash_db_filter_containment_20%,2,430,683,615,0.004629629629629629,0.00291970802919708,0.35664739884393065,0.003581020590868397,685,1045,390,31,0
RC-2649,laPotNata1,sourmash_db_filter_kmers_2,414,908,271,137,0.31316187594553707,0.6043795620437956,0.3184971098265896,0.41255605381165916,685,1045,390,31,1
RC-2649,laPotNata1,sourmash_db_filter_kmers_10,5,846,680,199,0.005875440658049354,0.0072992700729927005,0.11791907514450867,0.006510416666666667,685,1045,390,31,1
RC-2649,laPotNata1,sourmash_db_filter_kmers_50,2,292,683,753,0.006802721088435374,0.00291970802919708,0.43641618497109824,0.0040858018386108275,685,1045,390,31,0
RC-2649,laPotNata1,sourmash_db_filter_kmers_100,1,6,684,1039,0.14285714285714285,0.00145985401459854,0.6011560693641619,0.002890173410404624,685,1045,390,31,0
RC-2743,drTorJapo1,fcs,190,437,0,338,0.30303030303030304,1.0,0.5471502590673575,0.4651162790697675,190,775,-,151,151
RC-2743,drTorJapo1,tiara,190,558,0,217,0.2540106951871658,1.0,0.42176165803108806,0.40511727078891263,190,775,-,151,151
RC-2743,drTorJapo1,fcs+tiara,190,416,0,359,0.31353135313531355,1.0,0.5689119170984456,0.4773869346733668,190,775,-,151,151
RC-2743,drTorJapo1,sourmash_without_filters,190,577,0,198,0.24771838331160365,1.0,0.40207253886010363,0.39707419017763845,190,775,151,151,151
RC-2743,drTorJapo1,sourmash_db_filter_published_assembly,189,576,1,199,0.24705882352941178,0.9947368421052631,0.40207253886010363,0.3958115183246073,190,775,165,151,150
RC-2743,drTorJapo1,sourmash_db_filter_topN_3,175,416,15,359,0.2961082910321489,0.9210526315789473,0.5533678756476684,0.44814340588988477,190,775,165,151,143
RC-2743,drTorJapo1,sourmash_db_filter_topN_10,175,418,15,357,0.2951096121416526,0.9210526315789473,0.5512953367875648,0.44699872286079184,190,775,165,151,143
RC-2743,drTorJapo1,sourmash_db_filter_topN_50,175,421,15,354,0.2936241610738255,0.9210526315789473,0.5481865284974093,0.44529262086513993,190,775,165,151,143
RC-2743,drTorJapo1,sourmash_db_filter_topN_100,175,422,15,353,0.2931323283082077,0.9210526315789473,0.5471502590673575,0.4447268106734434,190,775,165,151,143
RC-2743,drTorJapo1,sourmash_db_filter_containment_0%,176,424,14,351,0.29333333333333333,0.9263157894736842,0.5461139896373057,0.4455696202531646,190,775,165,151,143
RC-2743,drTorJapo1,sourmash_db_filter_containment_1%,176,424,14,351,0.29333333333333333,0.9263157894736842,0.5461139896373057,0.4455696202531646,190,775,165,151,143
RC-2743,drTorJapo1,sourmash_db_filter_containment_10%,93,408,97,367,0.18562874251497005,0.48947368421052634,0.47668393782383417,0.2691751085383502,190,775,165,151,89
RC-2743,drTorJapo1,sourmash_db_filter_containment_20%,79,403,111,372,0.16390041493775934,0.41578947368421054,0.46735751295336786,0.23511904761904764,190,775,165,151,76
RC-2743,drTorJapo1,sourmash_db_filter_kmers_2,168,409,22,366,0.29116117850953205,0.8842105263157894,0.5533678756476684,0.43807040417209914,190,775,165,151,140
RC-2743,drTorJapo1,sourmash_db_filter_kmers_10,128,404,62,371,0.24060150375939848,0.6736842105263158,0.5170984455958549,0.3545706371191136,190,775,165,151,121
RC-2743,drTorJapo1,sourmash_db_filter_kmers_50,23,334,167,441,0.06442577030812324,0.12105263157894737,0.48082901554404145,0.08409506398537478,190,775,165,151,21
RC-2743,drTorJapo1,sourmash_db_filter_kmers_100,11,106,179,669,0.09401709401709402,0.05789473684210526,0.7046632124352331,0.07166123778501628,190,775,165,151,10
RC-2788,caAndHook4,fcs,140,19,0,36,0.8805031446540881,1.0,0.9025641025641026,0.9364548494983278,140,55,-,137,137
RC-2788,caAndHook4,tiara,140,20,0,35,0.875,1.0,0.8974358974358975,0.9333333333333333,140,55,-,137,137
